Independent Variable,Dependent Variable,non_dominant_median,non_dominant_iqr,non_dominant_wilcoxon_stat,non_dominant_p_value,dominant_median,dominant_iqr,dominant_wilcoxon_stat,dominant_p_value
TW_LDLJ,durations,-0.5838650117396048,0.3007418067323726,1.0,7.450580596923828e-09,-0.4654391016863992,0.30901136476244556,0.0,3.725290298461914e-09
TW_LDLJ,distance,0.07284326446584631,0.1131601162884774,61.0,0.000368364155292511,0.06373033151463513,0.15409766715679848,94.0,0.006451543420553207
TW_LDLJ,MotorAcuity,-0.3535025268258489,0.188917449709641,0.0,3.725290298461914e-09,-0.32514746847009546,0.15566323956852568,0.0,3.725290298461914e-09
TW_sparc,durations,-0.04265872742417268,0.15705604848455776,151.0,0.1556677184998989,-0.029931548535495605,0.14909950957016455,199.0,0.7013288475573063
TW_sparc,distance,0.00020062502460245634,0.1445498693702186,207.0,0.83135736733675,-0.007980317926377316,0.07863426140773218,197.0,0.6699504218995571
TW_sparc,MotorAcuity,-0.048526733055734746,0.11013209588254633,110.0,0.01904408261179924,-0.026002109194220763,0.1271020143213733,203.0,0.7655419819056988
ballistic_LDLJ,durations,-0.28473004954598613,0.11859489228177705,0.0,3.725290298461914e-09,-0.30668072778915356,0.20322270963877204,0.0,3.725290298461914e-09
ballistic_LDLJ,distance,0.03489313123100071,0.09872742399210986,90.0,0.004787962883710861,0.04455790448499473,0.08631858884617645,70.0,0.0008884184062480927
ballistic_LDLJ,MotorAcuity,-0.18082282605638006,0.08369766378870167,1.0,7.450580596923828e-09,-0.20989194999964778,0.10579496236381095,0.0,3.725290298461914e-09
ballistic_sparc,durations,-0.07327711318062953,0.16292361323891105,84.0,0.0029922761023044586,-0.0507429396698718,0.2043403197088968,164.0,0.25600792095065117
ballistic_sparc,distance,-0.002272676847907191,0.10289178245954,190.0,0.5647306069731712,-0.011250041830972939,0.10337039837608944,186.0,0.5082960315048695
ballistic_sparc,MotorAcuity,-0.062012211988969834,0.10692853886038922,82.0,0.0025420673191547394,-0.028536584548268414,0.1417573895330513,173.0,0.346684567630291
correction_LDLJ,durations,-0.35212757828189617,0.2863848218917052,0.0,3.725290298461914e-09,-0.3603064421214046,0.1728136036332658,1.0,7.450580596923828e-09
correction_LDLJ,distance,0.04463140092877515,0.07791911964177438,73.0,0.0011698119342327118,0.025202320678153416,0.13396152831275787,118.0,0.03080105036497116
correction_LDLJ,MotorAcuity,-0.22570700037206906,0.15761419321063896,0.0,3.725290298461914e-09,-0.24101684450693447,0.1400656489405395,0.0,3.725290298461914e-09
correction_sparc,durations,-0.05915168069362693,0.17501200751445103,112.0,0.021553177386522293,-0.029649323692402377,0.16673689635566563,180.0,0.4293668270111084
correction_sparc,distance,-0.021021807395158004,0.10193392540036555,148.0,0.13732990622520447,-0.06544657572304201,0.08020384095085174,77.0,0.001666329801082611
correction_sparc,MotorAcuity,-0.09989798210212104,0.13555594945073635,51.0,0.00012406706809997559,-0.05738043957350172,0.11297524387872593,68.0,0.0007359124720096588
